original_title,overview,genre names,keywords
the bridge of san luis rey,bridge san luis rey american author thornton wilders novel published 1927 worldwide acclaim tells story interrelated people die collapse inca ropefiber suspension bridge peru events lead bridge friar witnessed tragic accident goes inquiring lives victims seeking sort cosmic answer question die novel won pulitzer prize 1928,romance drama,based novel bridge peru period drama 18th century woman director collapse
faster,driver dwayne johnson spent 10 prison planning revenge murder brother driver free carry deadly plan stand billy bob thornton plays veteran cop oliver jacksoncohen crazy hitman close trail driver races carry mission mystery surrounding brothers murder deepens,crime drama action thriller,nan
ハウルの動く���,sophie shy woman cursed body spiteful witch chance breaking spell lies selfindulgent insecure wizard companions legged walking home,fantasy animation adventure,flying witch rain castle scarecrow body exchange hatter bakery demon anime
zombieland,columbus habit running scares tallahassee doesnt fears hed kick everliving ass world overrun zombies perfectly evolved survivors theyre stare terrifying prospect,comedy horror,washington dc sister sister relationship postapocalyptic road trip blood splatter parody survival zombie violence survival horror amusement park twinkie body count zombification disposing dead body bitten arm loner aftercreditsstinger zombie apocalypse fear clowns
the waterboy,bobby boucher water boy struggling college football team coach discovers bouchers hidden rage makes tackling machine bonecrushing power vault team playoffs,comedy,sport social outcast ridicule lawn mower deserted husband low self esteem black white color
the empire strikes back,epic saga continues luke skywalker hopes defeating evil galactic empire learns jedi aging master yoda darth vader determined capture luke meanwhile rebel leader princess leia cocky han solo chewbacca droids c3po r2d2 thrown various stages capture betrayal despair,adventure action science fiction,rebel android asteroid space battle snow storm space colony spaceship lightsaber jedi vs evil rebellion force space opera stormtrooper wookie jedi master jedi training droid
bad boys,marcus burnett henpecked family mike lowry footloose fancy free ladies miami policemen 72 hours reclaim consignment drugs stolen stations nose complicate matters assistance sole witness murder pretend,action comedy crime thriller,miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference skittles black cop badge action hero corrupt cop
the naked gun 2�: the smell of fear,bumbling cop frank drebin foil boys energy industry intend suppress technology business,comedy crime,washington dc usa president spoof white house
final destination,teenager terrifying vision friends dying plane crash prevents accident death hunt,horror,omen airplane accident corpse death neardeath experience
the ides of march,dirty tricks stand soil ambitious press spokesmans idealism cutthroat presidential campaign victory relative,drama,ohio politics dirty tricks presidential campaign endorsement campaign speech presidential debate
pitch black,ship crashlands remote planet marooned passengers soon learn escaped convict riddick isnt fear deadly creatures lurk shadows waiting attack dark planet rapidly plunging utter blackness total eclipse body count rising doomed survivors forced riddick eerie eyes guide darkness safety time running theres rule stay light,thriller science fiction action,darkness dystopia comet alien lifeform survival eclipse flask corps
someone like you...,jane goodale shes producer popular daytime talk hot romance dashing executive producer ray relationship goes terribly awry jane begins extensive study male animal including womanizing roommate eddie jane studies romantic misadventure pseudonymous sex columnist sensation,comedy romance,feminism cohabitant tv manwoman relation women
her,distant future theodore lonely writer purchases newly developed operating system designed meet users theordores surprise romantic relationship develops operating system unconventional love story blends science fiction romance sweet tale explores nature love technology isolates connects,romance science fiction drama,artificial intelligence computer love loneliness transhumanism heartbreak near future singularity bittersweet
joy ride,people road trip colorado jersey talk trucker cb radio escape psychotic killer,mystery thriller drama,colorado friendship stalker pokies truck driver cb radio strange
the adventurer: the curse of the midas box,17yearold mariah mundis life upside parents vanish brother kidnapped following trail clues darkly majestic prince regent hotel mariah discovers hidden realm childstealing monsters deadly secrets longlost artifact grants limitless wealth â devastating supernatural power fate world family stake mariah risk unravel curse midas box,fantasy adventure family,london england based novel key adventure supernatural steampunk
anywhere but here,adaptation mona simpson novel single mother adele august bad money worse comes decisions straightlaced daughter ann successful school student ivy league aspirations adele decides pack move midwest beverly hills calif pursue dreams hollywood success ann grows frustrated mothers irresponsible impulsive,drama comedy romance,dream
the crew,retired mobsters plan crime save retirement home,action comedy,nan
haywire,mallory kane highly trained operative government security contractor dirtiest dangerous corners world successfully freeing chinese journalist held hostage double crossed left dead close own agency suddenly target skilled assassins move mallory truth stay alive,action thriller,mercenary secret agent rescue foot chase spanish
jaws: the revenge,deadly shark attack ellen brody decides englands amity island moves caribbean join son michael family white shark followed hungry lives,adventure thriller,shark attack bahamas dying death aggression animal sequel revenge underwater shark white shark animal attack caribbean christmas banana boat
marvin's room,leukemia patient attempts 20year feud sister bone marrow,drama,sister sister relationship sister leukemia reunion cancer bone marrow transplant
the longshots,true story jasmine plummer age eleven female play pop warner football tournament 56year history,drama family,nan
the end of the affair,rainy london night 1946 novelist maurice bendrix chance meeting henry miles husband exmistress sarah abruptly affair bendrixs obsession sarah rekindled succumbs own jealousy arranges followed,drama,bomb sex jealousy infidelity obsession world war ii passion romance cheating wife church
harley davidson and the marlboro man,lawless future renegade biker harley davidson mickey rourke surly cowboy buddy marlboro don johnson learn corrupt bank foreclose friends bar expanding empire harley marlboro decide help robbing crooked bank accidentally filch drug shipment themselves run criminal financiers mob rugged action adventure,action thriller,corruption harley davidson drug dealer los angeles las vegas
in the valley of elah,career officer wife police detective uncover truth sons disappearance following return tour duty iraq,history drama thriller crime mystery,father son relationship detective war crimes patriotism homicide investigation iraq military service police coverup disappearance murder investigation
coco avant chanel,2009 biopic life coco chanel leaving orphanage father returned gabrielle chanel provincial bar shes seamstress performers singer earning nickname coco song sings nightly sister liaison baron balsan entree french society chance develop gift designing,drama history,fashion designer woman director
forsaken,john henry returns hometown hopes repairing relationship estranged father local gang terrorizing town john henry stop abandoned gun reputation fearless quickdraw killer,western drama,nan
ch�ri,sumptuous dramatic comedy set late 19th century france belle epoque period social cultural excess european upper classes world war erupted,drama comedy romance,nan
vanity fair,beautiful funny passionate calculating becky orphaned daughter starving english artist french chorus girl yearns glamorous life birthright promises resolves conquer english society means mere ascension heights society simply becky patron powerful marquess steyne whims enable becky realise dreams ultimate cost,drama romance,london england british empire lover advancement aristocrat woman director
十月圍���,1905 revolutionist sun yatsen visits hong kong discuss plans tongmenghui overthrow qing dynasty assassins sent kill assemble protectors prevent attacks,drama action history,assassination martial arts sword blood splatter impalement beaten death hong kong head bashed extreme violence violent death hook bloody fight throat slitting violence
1408,specializes debunking paranormal occurrences checks fabled 1408 dolphin hotel soon settling confronts genuine terror,horror thriller,suicide york hotel fire hotel wife husband relationship suicide attempt window door haunted house research ghost world painting telephone loss daughter blood
spaceballs,nefarious dark helmet hatches plan snatch princess vespa steal planets air spacebumforhire lone starr clueless sidekick fly rescue meet yogurt lone starr wise power schwartz master time save day,comedy science fiction,android lasergun swordplay temple space marine space battle space travel space mission galaxy comb altar magnet beam jam speed light plastic surgery password shield nose spoof
the water diviner,1919 australian farmer joshua connor travels turkey discover fate sons reported missing action holding hope joshua travel wartorn landscape truth own peace,war drama,istanbul australia post world war farmer missing action missing son gallipoli campaign inspired true events
ghost,sam wheat banker molly jensen artist madly love sam murdered friend corrupt business partner carl bruner shady business deal left roam earth powerless spirit learns carls betrayal sam seek help psychic oda mae brown set protect molly carl goons,fantasy drama thriller mystery romance,corruption fortune teller money transfer money laundering pottery afterlife spiritism
there's something about mary,recovered prom date total disaster finally chance reunite prom date run suitors including sleazy detective hired,romance comedy,surgeon stalker romantic comedy dream girl taboo screwball comedy frisbee troubadour gross comedy intellectual disability
the santa clause,scott calvin ordinary accidentally causes santa claus fall roof christmas eve knocked unconscious son finish santas trip deliveries north pole scott learns santa convince loves indeed father christmas,fantasy drama comedy family,holiday christmas party santa claus deal christmas tree christmas
the rookie,jim morris minor leagues shoulder injury pitching career twelve ago marriedwithchildren highschool chemistry teacher baseball coach texas jims team makes deal win district championship jim try majorleague organization bet proves incentive team worst time history school jim forced live deal nearly laughed tryout fielduntil onto mound confounds scouts clocking successive 98 mph fastballs minorleague contract tampa bay devil rays jims lot pitches throw makes bigleague dreams revived theres telling,drama family,father son relationship baseball sports team sport lifes dream growing
the game plan,bachelor football star joe kingman wealthy carefree team capturing championship suddenly tackled unexpected news daughter result fling exwife joe learn balance personal professional lives child,comedy family,american football bachelor sports team sport aerobics tween girl publicist
the bridges of madison county,photographer robert kincaid wanders life housewife francesca johnson days 1960s,drama romance,farewell adultery love sight photographer wife husband relationship iowa love ones life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary
the animal,loser marvin mange involved horrible car accident hes brought life deranged scientist half half animal newfound powers awesome adverse effects life marvin fight control crazy primal urges squeeze rianna rival sgt sisk hes cool cat,action comedy,dream employee car crash scientist police officer organ donation aftercreditsstinger virility
gandhi,20th century mohandas gandhi britishtrained lawyer forsakes worldly possessions cause indian independence faced armed resistance british government gandhi adopts policy passive resistance endeavouring win freedom people resorting bloodshed,drama history,muslim indian lead demonstration world war ii imprisonment release prison south africa bravery hunger strike colony morning prayer hindu independence british army political negotiations conference nonviolent resistance apartheid british empire protest independence movement bombay india strike freedom prayer world religion hinduism mahatma gandhi calcutta
the hundred-foot journey,story centered indian family moves france restaurant street michelinstarred french restaurant,drama,france based novel indian lead restaurant family
the net,angela bennett freelance software engineer lives world computer technology cyber friend bennett debug game inadvertently involved conspiracy soon life upside vacation mexico purse stolen soon people events target assassination vacation ruined passport embassy mexico wrong name ruth marx returns sort discovers ruth marx unsavory past lengthy police record matters worse person assumed real identity,crime drama mystery thriller action,cheating identity computer virus chase computer stalking
i am sam,sam mental capacity 7yearold daughter homeless woman abandons leave hospital leaving sam raise lucy own lucy grows sams limitations start authorities sam shames highpriced lawyer rita taking pro bono teaches value love family,drama,foster parents pro bono baby social services learning coffee shop manager pizza hut childrens book locked door mentally handicapped child custody woman director
son of god,life story jesus told humble birth teachings crucifixion ultimate resurrection,drama,biography resurrection
underworld,vampires werewolves waged nocturnal war centuries bets female vampire warrior named selene whos famous strength werewolfhunting prowess smitten peaceloving male werewolf michael war,fantasy action thriller,budapest subway love ones life vampire bite descendant hostility shootout werewolf blunt fang vamp
derailed,married business executives affair blackmailed violent criminal forced tables save families,drama thriller,prison chicago rape based novel hotel wife husband relationship anonymous letter blackmail familys daily life letter business relationship women revenge deception beating violence wallet extramarital affair embezzlement advertising executive flashback abortion commuter train
the informant!,rising star agriindustry giant archer daniels midland adm mark whitacre suddenly whistleblower exposes companyâs multinational pricefixing conspiracy fbi whitacre envisions hailed hero common handed promotion,drama comedy crime,agriculture company witness murder
shadowlands,cs lewis worldrenowned writer professor leads passionless life meets spirited poet joy gresham,drama romance,bachelor stroke fate brother oxford author falling love
deuce bigalow: european gigolo,deuce bigalow goes amsterdam little accident including irritating kids bunch aggressive dolphins meets friend tj hicks mysterious killer starts killing amsterdams finest gigolos tj mistaken extremely gay murderer deuce enter gigolo industry real murderer tjs name,comedy,painter amsterdam dolphin europe pimp fetish gigolo wig snorkel whistle
delivery man,affable underachiever hes fathered 533 children anonymous donations fertility clinic 20 ago decide forward 142 file lawsuit reveal identity,comedy,remake sperm donor
our kind of traitor,oxford academic attorney girlfriend holiday antigua bump russian millionaire owns peninsula diamond watch game tennis else propels lovers tortuous journey city london unholy alliance britains intelligence establishment paris alps,thriller,based novel woman director
saving silverman,pair buddies conspire save friend marrying wrong woman coldhearted beauty snatches breaks neil diamond cover band,comedy crime romance,female nudity harassment male friendship dark comedy director cameo duringcreditsstinger
diary of a wimpy kid: dog days,school greg ready days summer plans wrong earth summer,comedy family,friend sweet sixteen duringcreditsstinger
summer of sam,spike lees son sam murders york city summer 1977 centering residents italianamerican south bronx neighborhood live fear distrust,thriller drama crime romance,distrust intolerance punk rock italian american summer bigotry bronx
jay and silent bob strike back,jay silent bob learn comicbook alter egos bluntman chronic sold hollywood bigscreen movie leaves royalties pair travels tinseltown sabotage production,comedy,film jay silent bob self mocking character subject comic reference prince valiant indiana jones spoof scene monkey actor view askew gigantic hand animal experimentation
the glass house,parents ruby brother rhett killed car crash parents friends erin terry glass guardians children hear promises world opulence california fun move glasses gated house ruby suspects erin terry ideal guardians,drama thriller,california brother sister relationship loss parents suspense psychological thriller orphan car accident
"hail, caesar!",tells comedic tale eddie mannix fixer hollywood studios 1950s story star mysteriously disappears middle filming,comedy drama mystery,journalist cat ransom kidnapping ancient rome movie movie hollywood period drama
josie and the pussycats,josie melody val smalltown girl musicians determined rock band garage straight top remaining true look style sound record deal brings fame fortune soon realize pawns people control youth america names means losing fame fortune,comedy music,manager pop secret town garage musician music friendship industry fame conspiracy subliminalâ rock band culture woman director messages fortune record deal popular pawns
homefront,phil broker former dea agent gone crisis action biker gang horribly wrong cost life boss son recently widowed left 9yearsold daughtermaddy decides quit turbulent demanding life thrill maddys sake retires town daughter fights boy bullying school sets motion round events direct confrontation local meth drug lord past history biker gang enters arena matters complex mission mind protect daughter ready pay cost demands,action thriller,based novel drug dealer excop rural setting undercover cop methamphetamine motorcycle gang drug revenge motive father daughter relationship lousiana bayou
the little vampire,based popular books story tells tony friend add adventure life rudolph vampire kid appetite inseparable fun cut short hopes vampire race gone forever single night tonys access daytime world helps theyve,family horror,based novel vampire bite independent film fang vamp
i heart huckabees,husbandandwife team play detective traditional sense instead happy duo helps solve existential issues night wondering means,comedy romance,sex detective jealousy humor protest wife celebrity rivalry independent film religion universe anger nature husband existentialism enviroment issues
robocop 3,mega corporation omni consumer products bent creating pet project delta city replace rotting city detroit unfortunately inhabitants intention abandoning homes simply desires company ocp decided force leave employing ruthless mercenary army attack harass underground resistance begins fight robocop decide loyalties lie,action adventure crime science fiction thriller,cyborg dystopia police sequel cyberpunk policeman robocop
megiddo: the omega code 2,stone antichrist president european union seat power dissolve united nations create world government called world union,action science fiction thriller,dystopia
darling lili,set paris world war lili smithschmidt german spy requested cover help germany war try plans uncle wishes fulfill operation whereas colleagues believed capable performing operation british soon following major william larrabees move spending time thinking uncle realises shes love lili facing amp people coming true fate,drama comedy thriller music romance,spy uncle
dudley do-right,based 60sera cartoon name royal canadian mountie dudley doright busy keeping peace mountain town rival snidely whiplash comes plot buy property town start phony gold rush seeding river gold nuggets wellmeaning completely incompetent mountie stop whiplashs evil plan,comedy family romance,based cartoon mountie
the transporter refueled,fastpaced action movie set criminal underworld france frank martin transporter driver mercenary money buy installment meets anna attempt ruthless russian human traffickers kidnapped frankâs father,thriller action crime,transporter sequel suspense car bank heist action
the libertine,story john wilmot aka earl rochester 17th century poet famously drank debauched grave earn posthumous critical acclaim lifes,drama romance,london england sex dying death poet theatre milieu monolog monkey alcoholic
zwartboek,nazioccupied netherlands world war ii jewish singer infiltrates regional gestapo headquarters dutch resistance,drama thriller war,love enemy netherlands world war ii prosecution
joyeux no�l,1914 world war bloodiest war time human history christmas eve numerous sections western front called informal unauthorized truce various frontline soldiers conflict peacefully met mans land share precious pause carnage fleeting brotherhood,romance drama history war music,holiday world war hostility singer singing christmas
hit & run,former getaway driver charlie bronson jeopardizes witness protection plan identity help girlfriend los angeles feds charlies former gang chase road,action comedy romance,witness protection getaway driver duringcreditsstinger
mad money,female employees federal reserve plot steal money destroyed,action comedy crime,gang hoodlum woman director
before i go to sleep,woman wakes day remembering result traumatic accident past day terrifying truths emerge force question,mystery thriller,amnesia therapist aggression hospital flashback
sorcerer,exiled international criminals run hide remote nicaraguan village economy dependent oil company oil 200 miles catches fire extinguished explosives criminals chance earn deal money transporting highly volatile sensitive explosives hazardous rugged terrain obstacles danger,action thriller adventure,dynamite car journey nicaragua criminal bandit explosives latin america rope bridge transport nitroglycerin oil company existentialism dangerous mission
stone,parole officer jack mabry weeks left retirement wishes finish hes assigned gerald stone creeson convicted arsonist parole jack initially reluctant indulge stone coarse banter wishes pursue feels little sympathy prisoners pleads release seeing little hope convincing jack stone arranges wife seduce officer motives intentions steadily blur amidst passions buried secrets corrupted players deadly game deception,drama,prison fire manipulation seduction vegetarian playground deception arson parole arsonist convict house fire
moli�re,moliã¨re downandout actorcumplaywright ears debt wealthy jourdain offers cover debt moliã¨res theatrical talents help jourdain win heart widowed marquise hilarity ensues,romance drama comedy,playwright
out of the furnace,brothers live economicallydepressed rust belt cruel twist fate lands prison brother lured violent crime rings northeast,thriller drama crime,prison brother brother relationship drug dealer brother revenge drug car accident justice family bare knuckle fighting rust belt neonoir manslaughter social decay ptsd
michael clayton,law firm brings fixer remedy situation lawyer breakdown representing chemical company guilty multibillion dollar class action suit,drama mystery crime,killing restaurant chambers barrister scandal pretended suicide lawsuit car bomb business ethics crooked lawyer
my fellow americans,run country theyre running lives onthelam former presidents united framed scandal current president pursued armed agents squabbling political foes plunge desperately frantic search evidence establish innocence,comedy drama,white house usa president national security agency nsa danger sable writ
arlington road,threats sinister foreign nationals arent fear bedraggled college professor michael faraday vexed increasingly paranoid wifes accidental death botched fbi operation takes backseat seemingly allamerican couple set house door,drama thriller mystery,bomb terrorist fbi professor paranoia college wife politics army murder suspense neighbor agent blueprint classified neonoir
metegol,village amadeo lives challenge skills table football amadeo genius table football player real life hes loser hes love lara childhood friend hes shy cant bring confess love hangs quaint timeless village amadeo beats village bully flash table football scene set epic rivalry consumed anger flash vows 10 returns international superstar football icon galatico determined wreak revenge,animation adventure romance,soccer
to rome with love,tales unfold eternal city vacationing rome architect john encounters romantic woes remind painful incident own youth retired opera director jerry discovers mortician amazing voice seizes opportunity rejuvenate own flagging career couple separate romantic interludes spotlight shines ordinary,romance comedy,rome expatriate episodic
firefox,soviets developed revolutionary jet fighter called firefox naturally british worried jet firststrike weapon rumours jet indetectable radar send exvietnam war pilot mitchell gant covert mission soviet union steal firefox,science fiction action adventure thriller,flying pilot kampfjet false identity assault suspense
"south park: bigger, longer & uncut",boys rrated movie featuring canadians terrance philip pronounced corrupted parents pressure united wage war canada,animation comedy music,gay mount rushmore national memorial swear word mephisto hell world supremacy elementary school saddam hussein blood splatter atheist sequel surrealism friends hate satan based tv series cartoon sex child swearing visions hell canada war shot death adult animation south park colorado
death at a funeral,chaos ensues tries expose dark secret regarding recently deceased patriarch dysfunctional british family,comedy drama,brother brother relationship farewell father son relationship age difference parents kids relationship secret sadness coffin funeral gathering surprise lsd studies hallucinogen drug trip arrogance female corpse
teenage mutant ninja turtles iii,turtles travel time days legendary deadly samurai ancient japan train perfect art becoming turtles assist village uprising,action adventure comedy family fantasy science fiction,japan time travel ninja
hardball,aimless scalping tickets gambling drinking agrees coach little league team cabrini green housing project chicago condition getting loan friend,comedy romance,gay
silver linings playbook,spending eight months mental institution former teacher moves parents tries reconcile exwife,drama comedy romance,dancing philadelphia running based novel depression letter friendship neighbor mental illness exwife institutionalization bipolar philadelphia eagles
freedom writers,teacher inspires class atrisk students learn tolerance apply themselves pursue education beyond school,crime drama,black people based novel holocaust ghetto diary principal witness biography daughter school racial segregation anne frank school excursion idealism violence schools racial tension gang violence based true events
for colored girls,existence perspective 20 nameless black females women portray characters represented collection twenty poems revealing issues impact women women color particular,drama,female nudity poem rape love domestic violence womanhood
the transporter,former special forces officer frank martin deliver price noquestionsasked policy demand realizes cargo alive sets motion dangerous chain events bound gagged lai smuggled france shady american businessman frank save own illegal activities uncovered french detective,action crime thriller,car journey transportation auto human trafficking
never back down,rebellious jake tyler lured ultimate underground fight scene school receiving threats safety friends family jake decides seek mentoring veteran fighter trains final noholdsbarred elimination fight nemesis local martial arts champion ryan mccarthy,drama action,rebel martial arts underground fight training champion sport school party revenge blood nemesis violence club brawl
the rage: carrie 2,suicide friend rachel outside person reached jessie happens popular crowd lives torment outsiders rachel else separates rest secret amazing ability move mind sue snell survivor carrie whites rampage twentytwo ago hold key helping rachel terms awesome unwanted power rachel slowly learns trust terrible trap laid angry prove fatal,horror thriller science fiction,suicide male nudity female nudity fire nudity asylum telekinesis school swimming pool party sequel murder prom teacher decapitation blood splatter weightlifting teen suicide woman director
away we go,verona burt moved colorado close burts parents veronica expecting child burtâs parents decide move belgium leaving hate support structure set whirlwind tour disparate locations friends relatives sampling cities climates families realize journey discovering live figuring type parents,drama comedy romance,interracial relationship dead father reference bob dylan biracial bedtime story unmarried couple medical illustrator disguised voice reference huckleberry finn student protest sonogram expectant grandmother dead parents testicles
swing vote,remarkable events result presidential election comes mans vote,drama comedy,usa president presidential election fox news
moonlight mile,copes death fiancee parents figure life,romance drama,nan
tinker tailor soldier spy,recentlyretired mi6 agent george smiley doing adjust life outside secret service disgraced agent reappears information concerning mole heart service smiley drawn murky field espionage tasked investigating trusted former colleagues chosen betray country smiley narrows search suspects â experienced skilled successful agents â past histories rivalries friendships easy pinpoint eating heart british establishment,drama thriller mystery,spy cold war spying espionage mole british spy
molly,molly mckay profoundly autistic twentysomething woman lived institution age following parents death car accident institution close due budget cuts molly left charge neurotypical brother buck mckay advertising executive perennial bachelor buck allows undergo experimental medical treatment unexpectedly drastic results,drama comedy romance,nan
the beaver,suffering severe depression toy company ceo walter black mel gibson begins using beaver hand puppet help family father seemingly insane adolescent son porter anton yelchin pushes parents divorce jodie foster directs costars walters wife dark comedy features riley thomas stewart jennifer lawrence,drama,puppet woman director
the best little whorehouse in texas,town sheriff madame team stop television evangelist shutting local whorehouse famed chicken ranch,comedy,brothel corset crusader musical governor tv reporter madame busty cat house based stage musical based adaptation based article swearing
existenz,game designer run assassins play virtual reality creation marketing trainee determine game damaged,action thriller science fiction horror,video game hacker bodyguard pop star virtual reality dystopia virtual fight
raiders of the lost ark,dr indiana jones â tweedsuited professor happens celebrated archaeologist â hired government locate legendary ark covenant entire nazi regime,adventure action,saving world riddle nepal himalaya cairo moses egypt whip treasure medallion leather jacket nazis hat mediterranean ark covenant ten commandments treasure hunt excavation swastika archaeologist indiana jones archeologyâ
home alone 2: lost in new york,instead flying florida folks kevin york hotel dads credit cardâdespite clerk meddling bellboy kevin runs nemeses wet bandits hes determined foil plans rob toy store christmas eve,comedy family adventure crime,holiday york york city christmas
close encounters of the third kind,encounter ufos line worker feels undeniably drawn isolated wilderness spectacular happen,science fiction drama,indiana obsession extraterrestrial technology evacuation blackout flying saucer secret base light contact beguilement exchange ufo alien vision missing person mother ship escapade obsessive quest life upside
pulse,computer hacker friend accidentally channels mysterious wireless signal coeds rally stop terrifying evil taking world,horror thriller,suicide hacker death friend website remake
beverly hills cop ii,detroit cop axel foley heads land sunshine palm trees shot police captain andrew bogomil thanks couple friends axels investigation uncovers series robberies masterminded heartless weapons kingpin â chase,action comedy crime,smuggling arms detective intensive care undercover strip club armored car investigation police swimming pool sequel shootout gunfight los angeles explosion violence car chase detroit horse track beverly hills buddy cop oil field cement truck playboy mansion shooting range
bringing down the house,straightlaced lawyer peter sanderson steve martin meets falls love online chat friend lawyergirl charlene morton queen latifah discover shes convicted bank robber charlene escapes jail comes looking peter help name,comedy,prison exboyfriend support escape lawyer
the silence of the lambs,fbi trainee clarice starling ventures maximumsecurity asylum pick diseased brain hannibal lecter psychiatrist homicidal cannibal starling clues help capture serial killer faustian relationship lecter soon leads escape deranged killers loose,crime drama thriller,based novel psychopath horror suspense serial killer psychological thriller cannibal fbi agent animal cast credits cannibalism
wayne's world,sleazy tv exec offers wayne garth fat contract tape latenight public access network cant believe fortune soon discover road basement bigtime gnarly fraught danger temptation ragin party opportunities,music comedy,tv heavy metal television producer woman director
jackass 3d,jackass 3d 3d film third movie jackass series follows premise movies tv series compilation various pranks stunts skits movie begins brief introduction beavis butthead explaining 3d technology movie intro features cast lining attacked various objects slowmotion movie marks 10th anniversary franchise started 2000,comedy documentary action,pain stunts stuntman stupidity comedy duringcreditsstinger 3d
jaws 2,police chief brody protect citizens amity monstrous shark begins terrorizing waters,horror thriller,mayor island police chief sailing boat accident dying death panic current aggression animal sequel rescue teenager shark white shark hightension current tourism
beverly hills chihuahua,pampered beverly hills chihuahua named chloe vacation mexico owner vivs niece rachel lost rely friends help home caught dognapper ransom,adventure comedy family,dog dirt chihuahua pinata potted plant duringcreditsstinger
the conjuring,paranormal investigators ed lorraine warren help family terrorized dark presence farmhouse forced confront powerful entity warrens themselves caught terrifying lives,horror thriller,sister sister relationship exorcism rhode island based true story farmhouse paranormal investigation ghost supernatural power paranormal investigator annabelle
are we there yet?,fledgling romance nick playboy bachelor suzanne divorced mother threatened particularly harrowing eve suzannes vancouver holiday nick offers bring kids city portland oregon kids liked mom dates determined trip nightmare nick,adventure comedy family romance,car journey macho road trip children pretty woman trouble
tammy,losing job learning husband unfaithful woman hits road profane harddrinking grandmother,comedy,nan
school of rock,fired band hard cash guitarist vocalist dewey finn finagles job fourthgrade substitute teacher private school secretly begins teaching students finer rock roll schools hardnosed principal rightly suspicious finns activities finns roommate remains dark hes doing,comedy music,rock roll rock school music band
mortal kombat,nine generations evil sorcerer victorious handtohand battle mortal enemies wins tenth mortal kombat tournament desolation evil reign multiverse forever save earth warriors overcome seemingly insurmountable odds own inner demons superhuman foes actionadventure movie based popular video games time,action fantasy,martial arts monster island gore sorcerer tournament violence based video game hand hand combat
white chicks,fbi agent brothers marcus kevin copeland accidentally foil drug bust punishment forced escort pair socialites hamptons theyre bait kidnapper girls realize fbis plan refuse left options marcus kevin decide pose sisters transforming themselves africanamerican pair blonde white women,comedy,undercover fbi fish water society buddy cop crossdressing
the descendants,wife elizabeth life support boating accident hawaiian land baron matt king takes daughters trip oahu kauai confront real estate broker affair elizabeth misfortune,comedy drama,hawaii fatherinlaw daughter cheating wife beach house boating accident estate dying mother beautiful girl teenage daughter trustee trust fund wild girl wild child realtor
holes,stanleys family cursed bad luck unfairly sentenced months detention camp green lake campmates forced warden dig holes build character dont digging holes search lost treasure hidden camp,adventure family drama comedy,curse suitor false accusations reference annabel lee digging baseball player mountain climbing
the last song,drama centered rebellious girl sent southern beach town summer stay father mutual love music estranged duo learn reconnect,drama family romance,brother sister relationship love daughter summer vacation woman director
12 years a slave,precivil war united solomon northup free black upstate york abducted sold slavery facing cruelty unexpected kindnesses solomon struggles stay alive retain dignity twelfth unforgettable odyssey solomonâs chance meeting canadian abolitionist forever alter life,drama history,whip kidnapping slavery plantation night shift violin player physical abuse cotton slave owner 19th century sold slavery abolitionist
drumline,fishoutofwater comedy talented street drummer harlem enrolls southern university expecting lead marching bands drumline victory initially flounders world realizing takes talent reach top,drama romance comedy music,music rehearsal fraternity initiation television broadcast white male pretending black sorority party push ups
why did i get married too?,couples reunite annual vacation socialize spend time analyzing marriages intimate week bahamas disrupted arrival exhusband determined win recently remarried wife,comedy romance,nan
edward scissorhands,suburban town receives visit castaway unfinished science experiment named edward,fantasy drama romance,underdog love sight hairdresser town scissors inventor burglar unsociability
me before you,town girl caught deadend jobs highprofile successful wheelchair bound following accident decides life worth living girl hired six months caretaker worlds apart trapped circumstance rocky start girl determined prove life worth living embark series adventures world changing neither begin imagine,drama romance,england based novel depression town wheelchair caretaker caregiver disabled twenty woman director romantic drama dead job accident
madea's witness protection,wall street investment banker set linchpin companys mobbacked ponzi scheme relocated family aunt madeas southern home,drama comedy crime,nan
the french connection,tough narcotics detective popeye doyle hot pursuit suave french drug dealer key huge heroinsmuggling operation,action crime thriller,police brutality marseille night life attempted murder drug dealer drug mule gangster boss drug smuggle undercover agent hijacking train herion
bad moms,overworked underappreciated moms pushed beyond limits ditch conventional responsibilities jolt overdue freedom fun comedic selfindulgence,comedy,alcohol bar party divorce family hit run bathroom humor
date movie,spoof romantic comedies focuses campbell crush hannigan parents coolidge willard father griffin,comedy,date diary parentsinlaw bridegroom wedding
return to never land,classic tale peter pan continues disneys sequel return land 1940 world besieged world war ii wendy grown children daughter jane,adventure fantasy animation family,animation
selma,selma alabama segregation south worst leading march violence forcing famous statement president lyndon johnson ultimately led signing civil rights act,history drama,alabama martin luther king president black american civil rights protest march woman director selma
the jungle book 2,mowgli missing jungle friends runs village unaware danger hes wild,family animation adventure,river musical tiger village feral child sequel bear jungle orphan vulture gong lost shake mango
boogeyman,culture â horrible monster fueling childrens nightmares tim boogeyman lives memories creature devoured father 16 earlier boogeyman real tim explain father abandoned family,thriller horror drama mystery,nightmare hallucination childhood trauma breakup hometown psychotherapy
premonition,depressed housewife learns husband killed car accident day previously awakens morning alive home awakens day world dead,thriller drama mystery,deja vu dying death time travel loss husband car crash
